longitude,latitude,crop_flow_lb_s,datetime,duration ,distance_in,swth_wdth_in,moisture,status,pass_num,serial_number,field,dataset,product,elevation_ft
-85.368533,42.410139,0.99,2013-07-24 16:56:54+00,1,102,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.08
-85.368558,42.410153,1.19,2013-07-24 16:56:53+00,1,84,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),945.75
-85.368572,42.41017,1.29,2013-07-24 16:56:52+00,1,68,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.08
-85.368575,42.410187,1.99,2013-07-24 16:56:51+00,1,51,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.08
-85.368575,42.410198,1.99,2013-07-24 16:56:50+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),945.75
-85.368575,42.410209,2.29,2013-07-24 16:56:49+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),945.75
-85.368575,42.410217,2.69,2013-07-24 16:56:48+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),945.75
-85.368575,42.410226,2.39,2013-07-24 16:56:47+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368575,42.410234,2.79,2013-07-24 16:56:46+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368575,42.410242,3.59,2013-07-24 16:56:45+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368575,42.410251,2.39,2013-07-24 16:56:44+00,1,38,180,11.52,0,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368575,42.410262,3.99,2013-07-24 16:56:43+00,1,38,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368577,42.41027,5.99,2013-07-24 16:56:42+00,1,37,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368577,42.410278,5.89,2013-07-24 16:56:41+00,1,36,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368577,42.410287,7.49,2013-07-24 16:56:40+00,1,45,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.17
-85.368577,42.410298,7.49,2013-07-24 16:56:39+00,1,52,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.58
-85.368577,42.410309,6.09,2013-07-24 16:56:38+00,1,66,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.58
-85.368577,42.410323,6.49,2013-07-24 16:56:37+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.58
-85.368577,42.410342,5.29,2013-07-24 16:56:36+00,1,72,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),946.58
-85.368577,42.410359,6.59,2013-07-24 16:56:35+00,1,71,180,11.52,1,10,5648,F1: T1R4-East,L1: ,Wheat (Sft Rd Wtr),947
